idalumno,dni_alumno,email_alumno,celular_alumno,apellido_alumno,nombre_alumno,direccion_alumno,fecha_nac,fk_idtutor_alumno,fk_idgenero_alumno,createdAt,updatedAt
1,5319680235062522,dhulbert0@rambler.ru,756-668-2874,Hulbert,Danette,1 Prairie Rose Avenue,1988-01-14,1,2,1987-08-27T09:55:21Z,2022-07-22T05:28:56Z
2,5160160932324913,dastbery1@cmu.edu,449-112-3184,Astbery,Daniele,39331 Lighthouse Bay Terrace,2005-04-23,2,2,1990-06-09T15:41:15Z,2022-08-06T04:58:32Z
3,5108759374566868,ldurban2@vimeo.com,900-163-3761,Durban,Leone,21 Westridge Point,1998-12-21,3,1,1981-12-25T11:43:02Z,2024-03-26T05:35:16Z
4,5268088970160942,lgrevel3@cam.ac.uk,404-511-1549,Grevel,Lizette,1814 Beilfuss Terrace,1982-09-06,4,1,1978-09-21T05:07:42Z,2023-10-21T02:40:07Z
5,5421178787592686,mkarran4@ning.com,608-909-5438,Karran,Missie,87 Kennedy Place,2020-06-30,5,3,2017-03-30T13:34:35Z,2023-08-09T07:22:28Z
6,5007665818639157,stamblyn5@sogou.com,660-397-9754,Tamblyn,Sybyl,3233 Becker Crossing,2019-04-14,6,3,2013-09-01T13:04:50Z,2020-12-09T16:54:45Z
7,5324513479299760,sdingsdale6@yelp.com,679-428-4950,Dingsdale,Silvana,04500 Warner Park,1997-08-29,7,3,1990-12-18T04:41:47Z,2022-03-09T01:45:47Z
8,5100142823564628,ajoicey7@bandcamp.com,923-695-6635,Joicey,Alleen,046 Everett Place,1990-10-05,8,3,1970-08-21T18:05:50Z,2023-03-18T16:22:15Z
9,5100146948584072,mbeckinsall8@squarespace.com,483-853-1380,Beckinsall,Malorie,2195 Truax Park,2001-03-14,9,2,1999-07-08T12:02:03Z,2024-02-28T10:08:39Z
10,5108757904090409,pbushe9@themeforest.net,201-520-5751,Bushe,Perry,6 Graceland Park,2010-02-03,10,1,1976-06-28T23:06:52Z,2024-04-23T21:44:29Z
11,5108753364208706,lmaccrachena@yandex.ru,656-615-1696,MacCrachen,Law,70657 Chive Alley,2014-04-26,11,1,2006-12-25T07:00:42Z,2023-12-29T05:46:15Z
12,5100172460664589,kbansteadb@bandcamp.com,338-105-4496,Banstead,Kristopher,56131 Pankratz Alley,2010-01-08,12,2,2000-06-20T11:47:10Z,2024-01-16T04:59:17Z
13,5048370549421964,dgwylltc@spotify.com,849-860-5111,Gwyllt,Dukie,2 Tony Hill,2001-08-02,13,3,2000-07-23T08:12:11Z,2023-03-21T09:45:40Z
14,5048375051204997,ydavydochkind@lulu.com,409-998-2733,Davydochkin,Yolane,211 Mesta Avenue,2015-02-06,14,2,1980-12-16T04:16:20Z,2022-01-07T15:44:03Z
15,5010124716857813,lclaypoolee@bigcartel.com,766-582-0858,Claypoole,Loraine,349 Hoepker Court,2016-01-21,15,2,1999-04-13T03:05:33Z,2021-07-06T07:55:39Z
16,5002351575056605,gchetwyndf@wsj.com,806-754-4660,Chetwynd,Galina,10 Corry Park,2001-01-15,16,1,2007-09-15T11:41:59Z,2024-03-11T00:10:10Z
17,5002351473854267,dstricklerg@tamu.edu,274-726-5117,Strickler,Didi,7 Montana Circle,1994-03-13,17,2,1980-11-25T12:00:32Z,2020-10-06T19:08:50Z
18,5002353543309124,awizh@cdc.gov,258-575-6153,Wiz,Ardella,7494 Morrow Terrace,2005-03-11,18,1,1989-03-29T00:16:38Z,2021-07-30T04:59:32Z
19,5100170926501643,ecrowcrofti@wisc.edu,139-280-8594,Crowcroft,Emily,90 Katie Point,1987-09-04,19,3,1990-01-29T17:17:48Z,2020-08-26T21:08:00Z
20,5007661469998307,caubrayj@cbslocal.com,285-885-4160,Aubray,Calvin,76 Carpenter Crossing,1978-12-14,20,2,1975-07-04T23:49:06Z,2020-05-21T17:59:34Z
21,5100173541811496,ahucquartk@facebook.com,961-547-1349,Hucquart,Amata,415 Commercial Pass,2016-02-27,21,3,1982-03-06T06:57:50Z,2020-10-08T02:35:03Z
22,5243395051755213,hpendrilll@drupal.org,749-382-5628,Pendrill,Huntley,65 Maywood Street,2020-09-29,22,1,1987-11-09T22:12:37Z,2022-11-18T11:33:29Z
23,5246747610268061,mvysem@clickbank.net,807-922-8572,Vyse,Maurise,7 Algoma Trail,1974-01-23,23,3,2007-03-15T05:25:31Z,2022-04-12T03:35:17Z
24,5048373327227017,dpontern@sourceforge.net,623-249-8039,Ponter,Delila,163 Washington Park,1989-11-21,24,1,1994-06-19T09:36:55Z,2021-04-30T12:29:57Z
25,5002353057777807,dsnowdeno@ebay.com,493-845-1243,Snowden,Datha,3 Butternut Point,2003-02-02,25,1,1976-03-25T10:24:19Z,2023-04-13T10:50:41Z
26,5100176766479980,acresarp@nps.gov,307-173-9427,Cresar,Ariana,02042 Dahle Lane,1972-04-05,26,1,2017-05-18T02:54:10Z,2021-03-17T11:31:50Z
27,5100148119555311,idustingq@domainmarket.com,943-480-7784,Dusting,Issy,6 Aberg Crossing,2011-06-24,27,2,2007-06-25T08:47:18Z,2023-11-24T22:28:18Z
28,5010124618067347,wgriniovr@archive.org,495-308-8483,Griniov,Wandie,035 Milwaukee Way,2007-05-13,28,3,2005-10-30T10:23:58Z,2020-07-04T11:22:08Z
29,5100175261630550,smallenders@thetimes.co.uk,102-132-1676,Mallender,Skylar,85742 Truax Center,2014-04-10,29,2,2019-03-05T23:08:14Z,2023-07-28T15:01:17Z
30,5048372755639289,bdearingt@dailymotion.com,904-369-4213,Dearing,Bernadette,845 Mesta Pass,1996-11-29,30,2,2015-12-19T02:54:57Z,2020-06-09T09:05:50Z
