idprofesor,dni_profesor,email_profesor,celular_profesor,apellido_profesor,nombre_profesor,fk_idcargo_profesor,fk_idsituacion_profesor,createdAt,updatedAt
1,5100139926400130,btrevethan0@forbes.com,126-969-4399,Trevethan,Babita,1,8,1981-08-13,2022-06-08
2,5100140953268622,lwann1@sciencedaily.com,279-946-9860,Wann,Lorianne,4,6,2009-03-18,2022-05-21
3,5108759336258836,rplummer2@techcrunch.com,604-232-0988,Plummer,Rachele,3,7,2003-03-23,2022-12-17
4,5100137700149691,sserridge3@toplist.cz,154-481-1771,Serridge,Sasha,2,2,1993-06-07,2022-04-18
5,5303152225355132,rabbott4@deviantart.com,849-664-3290,Abbott,Reba,4,3,2018-04-06,2021-11-10
6,5522328236958065,jmadgwich5@wordpress.com,974-190-5014,Madgwich,Jillana,3,5,1998-05-02,2020-09-12
7,5002351457462954,cwhellans6@fastcompany.com,608-254-2824,Whellans,Cosimo,4,8,2000-03-19,2020-02-02
8,5100145287314125,azamora7@twitpic.com,236-443-0596,Zamora,Allina,2,7,1973-10-08,2021-07-23
9,5470067893649201,fchaudhry8@naver.com,927-547-5432,Chaudhry,Frannie,4,5,1998-03-21,2020-05-13
10,5513368939501623,rdockrell9@devhub.com,362-502-0283,Dockrell,Roana,2,2,2012-11-24,2023-01-19
11,5002359154290461,lhissiea@java.com,484-725-5972,Hissie,Lauraine,4,9,1974-01-26,2021-02-15
12,5108757809763647,dcawsyb@irs.gov,243-447-1848,Cawsy,Diahann,2,6,1973-07-27,2021-03-11
13,5494060292484637,hmcgarveyc@apache.org,806-986-4327,McGarvey,Hurley,1,7,1980-04-19,2023-07-06
14,5156355088117279,bauchinleckd@list-manage.com,471-356-8124,Auchinleck,Brenda,4,9,1999-09-19,2020-08-24
15,5398399662268841,gperazzoe@csmonitor.com,973-517-1808,Perazzo,Gherardo,3,2,2010-11-08,2023-02-01
16,5100174840603584,pwakemanf@accuweather.com,254-736-8971,Wakeman,Pansie,4,3,1982-09-25,2023-08-03
17,5002351832341170,rdobsonsg@pinterest.com,132-668-2344,Dobsons,Randal,4,1,2018-03-03,2022-10-22
18,5106652415675107,cstephensonh@goo.gl,930-690-1368,Stephenson,Cathee,2,9,2010-09-19,2021-04-20
19,5007666747751006,jivashechkini@java.com,125-643-3992,Ivashechkin,Jarrod,4,4,2015-07-25,2021-06-10
20,5255172133400901,miowarchj@studiopress.com,246-815-9435,Iowarch,Marielle,2,3,1990-05-25,2023-04-06
21,5002351561566369,jstofflerk@nymag.com,834-271-8459,Stoffler,Jory,1,2,2001-05-30,2021-05-19
22,5100136908298292,ssmowtonl@soundcloud.com,965-129-4820,Smowton,Scarlett,4,5,1970-04-22,2023-09-19
23,5108757829475388,aharewoodm@amazon.com,706-262-5708,Harewood,Ada,1,6,2011-12-02,2021-07-30
24,5540181363097399,jcossomn@patch.com,789-879-7237,Cossom,Jemmie,3,8,1983-10-17,2023-02-14
25,5048372047987074,dbarrowclougho@nhs.uk,562-306-5490,Barrowclough,Darnell,4,7,1986-01-25,2023-04-25
26,5223500825267056,bstuddardp@tmall.com,179-969-0324,Studdard,Bettina,3,1,1976-01-23,2021-10-26
27,5516621644207564,jyuranovevq@ycombinator.com,303-540-1557,Yuranovev,Judye,1,4,1972-10-09,2021-01-25
28,5108758876802631,lkattr@mtv.com,261-282-4576,Katt,Lemuel,2,8,1978-08-24,2022-03-14
29,5002359076546529,smatskivs@mail.ru,992-712-0763,Matskiv,Sterling,2,7,1970-03-23,2023-01-11
30,5318862175394567,kleftwicht@devhub.com,379-437-6582,Leftwich,Kean,1,7,1977-08-19,2022-05-18
