idalumno,dni_alumno,email_alumno,celular_alumno,apellido_alumno,nombre_alumno,direccion_alumno,fecha_nac,fk_idtutor_alumno,fk_idgenero_alumno,createdAt,updatedAt
1,5048374879140772,dhearns0@sun.com,4877644237,Hearns,Darb,4 Fulton Plaza,2006-11-26,1,3,2019-09-04,
2,5108752264892544,cwyke1@phpbb.com,8502856673,Wyke,Cherish,439 Gina Street,2003-08-22,2,3,2015-02-11,
3,5048378562081235,fpunshon2@tuttocitta.it,3173173185,Punshon,Ferdinand,2798 Karstens Road,2002-09-21,3,1,2015-08-05,
4,5048376818304906,ytasker3@amazon.co.uk,9753876869,Tasker,Yuma,31080 Graceland Drive,2005-05-24,4,1,2012-04-15,
5,5108750334153129,pcrumly4@cbsnews.com,3808095738,Crumly,Perrine,29814 Rutledge Pass,2009-07-22,5,3,2014-07-03,
6,5048379948505111,jpavolillo5@baidu.com,9839663985,Pavolillo,Jeramie,405 Mesta Pass,2009-06-19,6,2,2021-04-30,
7,5108753278316322,dpalethorpe6@home.pl,4694825069,Palethorpe,Dulcy,28551 Huxley Crossing,2005-08-12,7,2,2014-03-14,
8,5108751399552353,isharman7@yahoo.com,6497321925,Sharman,Ivie,44617 Lake View Avenue,2010-07-29,8,2,2016-04-12,
9,5048373529852679,nbehne8@sphinn.com,5955501131,Behne,Nonnah,98 Melody Lane,2007-09-15,9,1,2019-09-22,
10,5048371954842421,smolden9@plala.or.jp,4308438360,Molden,Stanly,7065 Mccormick Pass,2004-12-21,10,3,2013-10-04,
11,5108758103022318,loglethorpea@naver.com,4779149012,Oglethorpe,Laurella,6 Mosinee Plaza,2003-10-28,11,2,2016-07-20,2024-05-25
12,5048376316841219,acosteb@facebook.com,6705152568,Coste,Ardeen,83 West Parkway,2002-11-26,12,1,2016-09-20,2024-04-18
13,5108756272694180,ccoddingtonc@jugem.jp,4125792525,Coddington,Cristal,84 Longview Terrace,2001-03-14,13,2,2023-01-15,
14,5108757699884438,rskillicornd@digg.com,6075420667,Skillicorn,Rik,50 Artisan Way,2003-09-24,14,1,2015-03-03,
15,5108751810107571,smechice@virginia.edu,5283738154,Mechic,Sadella,599 Larry Circle,2001-02-24,15,1,2011-09-10,2024-04-11
16,5108750671253573,pboijf@macromedia.com,9636257558,Boij,Petronia,1170 Grasskamp Crossing,2002-08-01,16,2,2018-07-07,
17,5108755327737762,jbromptong@digg.com,6271163327,Brompton,Jimmy,41 Fremont Trail,2003-11-25,17,3,2012-01-10,
18,5108752546692431,lnevillh@google.nl,3433633161,Nevill,Lelia,44 Jenifer Place,2005-12-12,18,1,2021-05-02,
19,5048373575278548,ndulakei@so-net.ne.jp,2829561374,Dulake,Nedi,479 Mcguire Court,2007-08-05,19,3,2018-05-11,
20,5108753433713132,bmcdarmidj@nih.gov,8368923822,McDarmid,Barrett,98657 Truax Park,2001-12-06,20,1,2012-10-11,
21,5108751139604670,ltomkissk@dion.ne.jp,8218260838,Tomkiss,Lidia,38 School Terrace,2002-01-30,21,3,2016-07-14,
22,5108750665875308,morhtmannl@zimbio.com,2441871636,Orhtmann,Maridel,89449 East Way,2003-10-07,22,3,2011-08-30,
23,5048376690722316,aibbetsonm@pen.io,3761959841,Ibbetson,Adrian,8113 Acker Way,2003-02-23,23,1,2016-06-22,2024-04-13
24,5048370388583171,bbirkenshawn@marriott.com,7191051534,Birkenshaw,Belvia,5 Nevada Park,2004-01-26,24,1,2021-01-12,
25,5108751803353588,dbathowo@mlb.com,9005047527,Bathow,Dennie,6 Bartillon Circle,2005-02-07,25,3,2021-02-23,
26,5048379853704667,goosthoutdevreep@surveymonkey.com,3748053413,Oosthout de Vree,Grange,59202 Ridgeview Plaza,2003-06-27,26,3,2016-02-29,
27,5048377855194382,lcastagnaroq@ycombinator.com,3389622860,Castagnaro,Licha,12 Westport Drive,2006-12-11,27,1,2017-04-15,
28,5108757619438976,tkynforthr@chronoengine.com,1956168229,Kynforth,Torey,21735 Cardinal Way,2006-11-28,28,1,2021-10-16,
29,5048373611708268,jconnows@paypal.com,1362329946,Connow,Joann,140 Northfield Alley,2005-12-02,29,2,2013-02-27,
30,5048374956497202,ctodarit@webs.com,9316855760,Todari,Cull,181 Duke Hill,2006-12-25,30,1,2022-10-25,
31,5108751345447443,gbramontu@cyberchimps.com,6362178298,Bramont,Ginnifer,84307 Hazelcrest Place,2009-04-22,31,3,2012-09-28,
32,5108754727964050,osolwayv@ehow.com,8052421314,Solway,Othilie,092 Loeprich Park,2009-08-13,32,2,2014-06-22,
